codigo;denominacion;precio;marca;producto;stock;viajando;dto;canon
ls27dg300euxen;"monitor 27' odyssey g3 gaming 1920x1080 180hz va 1ms 250cd/m2 3000:1 16:9 hdmi 1xdisplayport salida mini jack 3.5mm angulo vision h:178-v178 amd radeon freesync soporte vesa 100x100 pivotante regulable altura dimensiones 618.2x520.6x234.2mm 4,4kg color negro";122.8;samsung;monitor;4;0;1;0
ls30001u10i1;"lector codigos de barras laser 1d posiflex ls-3000 negro usb + soporte. color negro.";38.05;posiflex;scanner cb;1;0;1;0
ls32cg552euxen;"monitor gaming curvo 32' odyssey 2560x1440 165hz va 1ms 300cd/m2 2500:1 16:09 hdmi 1xdisplayport  angulo vision h:178-v178 freesync premium pro soporte vesa 75x75 5,2kg color negro";173.38;samsung;monitor;3;0;1;0
lt310cl;"bandeja de entrada de papel para 250 hojas. hll8240cdw, mfcl8390cdw";126.14;brother;accesorio;0;0;1;0
lt325cl;"bandeja de entrada de papel para 500 hojas";133.56;brother;accesorio;1;0;1;0
lt5400;"bandeja de entrada de papel para 500 hojas";133.7;brother;accesorio;1;0;1;0
lu0215001;"kit de mantenimiento laser negro (fusor) 230v para mfc-8870dw, mfc-8860dn, mfc-8460n, dcp-8065n, dcp-8060, hl-5240, hl-5250dn, hl-5270dn, hl-5280dw, hl-5250dnt ";126.81;brother;kit;1;0;1;0
lu4104001;"fusor lu4104001 para dcp-9040cn, dcp-9042cdn, dcp-9045cdn, hl-4040cn, hl-4050cdn, hl-4050ctl, hl-4070cdw, mfc-9440cn, mfc-9450cdn,mfc-9840cdw";141.74;brother;fusor;2;0;1;0
lubrilimp-0;"limpiador lubri-limp/0 de contactos de 'residuos cero' con evaporacion total 250ml";6.99;tasovision;componente;8;0;1;0
m15-2;"punto acceso interior mesh wifi 6 eagle pro ax1500 2.4ghz 5ghz amplia senyal hasta 370 metros cuadrados 2 puertos rj45 pack 2 unidades aistente virtual amazon alex y google assistant";89.51;d-link;wifi;2;0;1;0
m15-3;"punto acceso interior mesh wifi 6 eagle pro ax1500 2.4ghz 5ghz amplia senyal hasta 370 metros cuadrados 2 puertos rj45 pack 3 unidades aistente virtual amazon alex y google assistant";106.81;d-link;wifi;2;0;1;0
m280cs2130-2tb-rb;"disco interno ssd pcie 3.0 nvme m.2 2280 2tb velocidad lectura hasta 3500mb/s velocidad escritura hasta 1800mb/s";201.3;pny;ssd int1+;5;0;1;3
m30;"router ax3000 wifi 6 gigabit dual band 2.4ghz hasta 574 mbps y 5ghz hasta 2403 mbps cuatro puertos lan y un puerto wan 10/100/1000 cinco antenas internas cobertura de 260m² ";73.22;d-link;router;1;0;1;0
m7010;"router movil mifi 4g lte 150mbps tarjeta nano sim";33.88;tp-link;router;4;0;1;0
ma6a4zm/a;"funda transparente con magsafe para iphone 16";41.34;apple;funda;0;0;1;0
ma7d4zm/a;"funda transparente con magsafe para iphone 16 plus";41.34;apple;funda;0;0;1;0
ma7e4zm/a;"funda transparente con magsafe para iphone 16 pro ";41.34;apple;funda;0;0;1;0
ma7f4zm/a;"funda transparente con magsafe para iphone 16 pro max";41.34;apple;funda;3;0;1;0
