codigo;denominacion;precio;marca;producto;stock;viajando;dto;canon
0013t0301;"toner lexmark optra e";71.4;lexmark;fusor;1;0;1;0
0026401;"archivador definitivo 80mm a4 de carton 327x265x85mm blanco azul";1.19;fellowes;papeleria;84;0;1;0
01126301;"cinta de nylon negro";17.59;oki;cinta;7;0;1;0
0142;"soporte de monitor/tv para pared desde 26' hasta 32' inclinacion 15 vesa estandar hasta 75kg plata";5;indefinida;soporte;2;0;1;0
02300bk11045;"ribbon 110mmx450m caja con 12 rollos";108.47;zebra;componente;0;0;1;0
02300gs11007;"wax ribbon 2300 110mm ancho x 74 metros cinta de transferrencia calidad cera color negro caja con 12 rollos";26.3;zebra;cinta;0;0;1;0
02596;"televisor 43'  a series a2z alu20043z uhd 4k resolucion 3840x2160 60hz smart tv android tv 11 sintonizadores dvb-t2 t cs2  1xhdmi  ethernet negro";239;cecotec;televisor;1;0;1;0
0318c001;"tinta pgi-570xl negro 500 paginas aproximadamente";14.2;canon;tinta;3;0;1;0
03200gs06407;"ribbon cera 3200 wax resina 64mm x 74metros desktop caja con 12 rollos";35.13;zebra;consumible;0;0;1;0
03b03-00475700;"disco interno ssd pcie nvme m.2 2280 512gb pcie gen4 ";69.48;union memory;ssd int1;0;0;1;1.5
04911030;"carpeta con elastico formato folio azul (12 unidades)";6.61;grafopla;papeleria;4;0;1;0
0515c106;"impresora multifuncion tinta pixma mg3650s a4 4800x1200ppp usb 2.0 wifi impresion monocromo 9.9ppm impresion color 5.7ppm impresion duplex bandeja entrada papel 100 hojas canon print negro peso 6.5 kg";48.77;canon;imp multif;4;0;1;5.25
0617b001;"tinta cl-41 tricolor (amarillo, magenta y cian)";19.45;canon;tinta;0;0;1;0
0790;"cable desde euroconector macho a euroconector macho longitud 1.5 metros";2.69;media magic;cable;12;0;1;0
09002303;"cinta de nylon u0339 negro";11.18;oki;cinta;43;0;1;0
09002309;"cinta de nylon u0353 negro";12.35;oki;cinta;43;0;1;0
0910301;"boligrafo recargas color azul 12 unidades para ref: 9821502";2.74;fellowes;papeleria;4;0;1;0
10.01.2400;"adaptador desde usb-c macho a usb-a hembra 2.0";1.53;nano cable;adaptador;-26;0;1;0
10.15.2402;"cable desde mini displayport macho a displayport macho longitud 2 metros";3.43;nanocable;cable;6;0;1;0
100017468;"destructora lx70  hasta 11 hojas manual 70gr en particulas de 4x40mm (din p-4) destruye de manera continua durante 5 minutos con 30 minutos de enfriamiento  tambien destruye grapas, clips y tarjetas de credito papelera con capacidad para 18 litros color blanco";72.6;fellowes;desctructor;1;0;1;0
101419;"etiquetadora numerica - 2 lineas, 10 caracteres - facil instalacion de etiquetas y tinta";21.12;apli;etiquetadora;0;0;1;0
103886;"luz baliza de emergencia para coche, led one v16  eco homologada, dispone de base magnetica y un adhesivo de doble cara, geolocalizable, incluye un plan de datos hasta 2038, funciona a pilas de 9v";27.5;erum;accesorio;15;0;1;0
10510601;"grapadora de tenaza metalica rapid k1 hasta 50 hojas grapado abierto y cerrado grapas 24/6-8+ color cromado";23.69;petrus;papeleria;2;0;1;0
10976;"bloc de notas post-it 75x125mm de 100 hojas amarillo";0.6;apli;papeleria;3;0;1;0
10d-215j68128;"tpv 21.5' tactil flat capacitivo 1920x1080 intel j6412 8gb ddr4 128gb ssd 2xusb 2.0 2xusb 3.0 ethernet wifi vga hdmi altavoces 2x2w compatible vesa 100x100 dimensiones 528x319x61mm peso 5.1kg sin sistema operativo";417.3;10pos;tpv;1;0;1;0
10d-215j68128w0;"tpv 21.5' tactil flat capacitivo 1920x1080 intel j6412 8gb ddr4 128gb ssd 2xusb 2.0 2xusb 3.0 ethernet wifi vga hdmi altavoces 2x2w compatible vesa 100x100 dimensiones 528x319x61mm peso 5.1kg windows 10 iot";435.49;10pos;tpv;1;0;1;0
10s0150;"toner lexmark e-210";71.74;lexmark;toner;5;0;1;0
10t-15i5h8256w1;"tpv 10t-17  15' tactil flat capacitivo 1024x768 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi hdmi audio vesa 100x100 windows 11 iot color negro";484.66;10pos;tpv;3;0;1;0
10t-15j418128w0;"tpv 10t-15  15' tactil flat capacitivo 1366x768 intel j4125 2.7ghz 8gb ddr4 128gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga 2xaudio con windows 10 iot color vesa 10x10 negro";330.91;10pos;tpv;2;0;1;0
10t-15j648128;"tpv 10t-15  15' tactil flat capacitivo 1366x768 intel j6412 8gb ddr4 128gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga 2xaudio sin sistema operativo color vesa 10x10 negro";330.63;10pos;tpv;7;0;1;0
10t-16i578256w0;"tpv 10t-16  15.6' tactil flat capacitivo 1366x768 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga 2xaudio vesa 100x100 windows 10 iot color negro";416.73;10pos;tpv;1;0;1;0
10t-16i5h8256;"tpv 10t-16  15.6' tactil flat capacitivo 1368x766 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi hdmi  audio vesa 100x100 sin sistema operativo color negro";403.39;10pos;tpv;4;0;1;0
10t-16j648128;"tpv 10t-16  15.6' tactil flat capacitivo 1366x768 intel j6412 8gb ddr4 128gb ssd 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga audio vesa 100x100 sin sistema operativo color negro";307.81;10pos;tpv;4;0;1;0
10t-16j648128w1;"tpv 10t-16  15.6' tactil flat capacitivo 1366x768 intel j6412 8gb ddr4 128gb ssd 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga audio vesa 100x100 windows 11 iot color negro";374.92;10pos;tpv;4;0;1;0
10t-17i5h8256;"tpv 10t-17  17' tactil flat capacitivo 1280x1024 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi hdmi 2xaudio vesa 100x100 sin sistema operativo color negro";462.24;10pos;tpv;2;0;1;0
10t-17i5h8256w1;"tpv 10t-17  17' tactil flat capacitivo 1280x1024 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi hdmi 2xaudio vesa 100x100 windows 11 iot color negro";536.07;10pos;tpv;2;0;1;0
11.04.5370;"cable desde vga macho a vga hembra longitud 20 metros con ferrita";30.69;roline;cable;24;0;1;0
11.99.4693r;"cable desde usb-a macho + vga macho a usb-b macho + vga hembra longitud 3 metros para kvm";8.35;value;cable;1;0;1;0
110010347453;"smartphone a40 capacidad 128gb ram 6gb procesador qualcomm snapdragon 6s 4g gen 1 pantalla 6.67' camara frontal 5mp camara trasera 50mp bateria 5100mah blanco";103.96;oppo;smartphone;0;0;1;3.25
110010347675;"smartphone a40 capacidad 256gb ram 8gb procesador qualcomm snapdragon 6s 4g gen 1 pantalla 6.67' camara frontal 5mp camara trasera 50mp bateria 5100mah blanco";126.26;oppo;smartphone;2;0;1;3.25
110010347676;"smartphone a40 capacidad 256gb ram 8gb procesador qualcomm snapdragon 6s 4g gen 1 pantalla 6.67' camara frontal 5mp camara trasera 50mp bateria 5100mah negro";123.73;oppo;smartphone;3;0;1;3.25
110010348164;"smartphone a5 pro capacidad 256gb ram 8gb procesador qualcomm 6s gen 1 4g pantalla 6.67' nfc camara frontal 8mp camara trasera 50mp bateria 5800mah dual sim color azul cielo";133.75;oppo;smartphone;0;0;1;3.25
110010348467;"smartphone a5x capacidad 128gb ram 4gb procesador qualcomm 6s gen 1 4g pantalla 6.67' camara frontal 5mp camara trasera 32mp bateria 6000mah dual sim color negro azul";81.47;oppo;smartphone;2;0;1;3.25
11103;"cinta adhesiva transparente 19mm x 33m de uso universal film resistente de 28 micras y desenrollado silencioso";0.49;apli;papeleria;8;0;1;0
111800;"cable desde sata hembra a sata hembra longitud 0.50 metros con clip de seguridad";1.02;equip;cable;12;0;1;0
111900;"cable desde sata iii hembra a sata iii hembra longitud 0.50 metros con clip de seguridad";0.98;equip;cable;8;0;1;0
112030;"adaptador desde molex macho a molex hembra dos conectores";1.06;equip;adaptador;4;0;1;0
112050;"adaptador desde molex macho a sata hembra";1.1;equip;adaptador;22;0;1;0
112100;"cable desde iec macho a iec hembra longitud 1.8 metros ideal cpu a monitor/ups";3.46;equip;cable;14;0;1;0
112101;"cable desde iec macho a iec hembra longitud 3 metros ideal cpu a monitor/ups";5.69;equip;cable;3;0;1;0
112121;"cable desde schuko macho a iec hembra longitud 3 metros";5.87;equip;cable;11;0;1;0
112220;"cable desde schuko macho a iec hembra dos conectores longitud 1.8 metros";7;equip;cable;21;0;1;0
118801;"cable desde vga macho a vga hembra con ferrita longitud 3 metros";4.67;equip;cable;11;0;1;0
118802;"cable desde vga macho a vga hembra con ferrita longitud 5 metros";5.15;equip;cable;12;0;1;0
118804;"cable desde vga macho a vga hembra con ferrita longitud 10 metros";8.1;equip;cable;2;0;1;0
118805;"cable desde vga macho a vga hembra con ferrita longitud 15 metros";15.03;equip;cable;9;0;1;0
118806;"cable desde vga macho a vga hembra con ferrita longitud 20 metros";20.41;equip;cable;3;0;1;0
118807;"cable desde vga macho a vga hembra con ferrita longitud 1.8 metros";3.74;equip;cable;12;0;1;0
118811;"cable desde vga macho a vga macho con ferrita longitud 3 metros";4.67;equip;cable;23;0;1;0
118812;"cable desde vga macho a vga macho con ferrita longitud 5 metros";5.6;equip;cable;4;0;1;0
118814;"cable desde vga macho a vga macho con ferrita longitud 10 metros";8.67;equip;cable;9;0;1;0
118815;"cable desde vga macho a vga macho con ferrita longitud 15 metros";15.28;equip;cable;6;0;1;0
118816;"cable desde vga macho a vga macho con ferrita longitud 20 metros";16.24;equip;cable;4;0;1;0
118817;"cable desde vga macho a vga macho con ferrita longitud 1.8 metros";4.19;equip;cable;23;0;1;0
118908;"adaptador desde hdmi hembra a dvi-d macho dual link equip";2.77;equip;adaptador;12;0;1;0
118909;"adaptador desde hdmi macho a dvi-d hembra dual link equip";2.69;equip;adaptador;14;0;1;0
118910;"adaptador desde hdmi macho a hdmi hembra acodado 90 equip";1.56;equip;adaptador;7;0;1;0
118911;"adaptador desde hdmi macho a hdmi hembra pivotante 45 equip";2.43;equip;adaptador;9;0;1;0
118914;"adaptador desde mini hdmi macho a hdmi hembra";1.49;equip;adaptador;8;0;1;0
118915;"adaptador desde micro hdmi macho a hdmi hembra";1.64;equip;adaptador;11;0;1;0
118932;"cable desde dvi-d macho a dvi-d macho dual link longitud 1.8 metros con ferrita";4.2;equip;cable;7;0;1;0
118933;"cable desde dvi-d macho a dvi-d macho dual link longitud 3 metros con ferrita";6.81;equip;cable;10;0;1;0
118935;"cable desde dvi-d macho a dvi-d macho dual link longitud 5 metros con ferrita";9.25;equip;cable;9;0;1;0
118937;"cable desde dvi-d macho a dvi-d macho dual link longitud 10 metros con ferrita";11.74;equip;cable;4;0;1;0
118943;"cable desde dvi-i macho a vga macho longitud 1.8 metros singel link";4.25;equip;cable;0;0;1;0
118945;"adaptador desde dvi-i macho a vga hembra";1.84;equip;adaptador;2;0;1;0
118972;"cable desde dvi-d macho a dvi-d hembra dual link longitud 1.8 metros con ferrita";4.15;equip;cable;22;0;1;0
11903607;"adaptador desde hdmi macho a vga hembra + mini jack 3.5mm  para audio equip";8.23;equip;adaptador;29;0;1;0
119252;"cable desde displayport macho a displayport macho hdcp 1.4 y 2.2 resolucion de video hasta 8k longitud 2 metros";6.31;equip;cable;30;0;1;0
119265;"cable desde displayport macho a displayport macho longitud 5 metros 1.4 8k/60hz malla de algodon trenzado y conector de aluminio.";12.87;equip;cable;10;0;1;0
119306;"cable desde hdmi macho a mini hdmi macho longitud 1 metro 1.4 high speed";3.66;equip;cable;12;0;1;0
119307;"cable desde hdmi macho a mini hdmi macho longitud 2 metros 1.4 high speed";3.74;equip;cable;19;0;1;0
119308;"cable desde hdmi macho a micro hdmi macho longitud 2 metros 1.4 high speed";6.23;equip;cable;6;0;1;0
119309;"cable desde hdmi macho a micro hdmi macho longitud 1 metro 1.4 high speed";6.32;equip;cable;1;0;1;0
119310;"cable desde hdmi macho a hdmi macho longitud 1.8 metros high speed resolucion hasta 1080p 1920x 1080 60hz";1.55;equip;cable;88;0;1;0
119322;"cable desde hdmi macho a dvi-d macho longitud 1.8 metros";4.08;equip;cable;3;0;1;0
119323;"cable desde hdmi macho a dvi-d macho longitud 3 metros";5.4;equip;cable;10;0;1;0
119325;"cable desde hdmi macho a dvi-d macho longitud 5 metros";8.1;equip;cable;6;0;1;0
119340;"cable desde hdmi macho a hdmi macho longitud 5 metros 2.0 high speed con ethernet hq";6.32;equip;cable;0;0;1;0
119341;"cable desde hdmi macho a hdmi macho longitud 1 metro 2.0 high speed con ethernet";2.42;equip;cable;28;0;1;0
119342;"cable desde hdmi macho a hdmi macho longitud 2 metros 2.0 high speed con ethernet";3.22;equip;cable;12;0;1;0
119343;"cable desde hdmi macho a hdmi macho longitud 3 metros  2.0 high speed con ethernet";3.85;equip;cable;0;0;1;0
119346;"cable desde hdmi macho a hdmi macho longitud 7.5 metros 2.0 high speed con ethernet hq";13.93;equip;cable;11;0;1;0
119347;"cable desde hdmi macho a hdmi macho longitud 10 metros 2.0 high speed con ethernet hq";13.94;equip;cable;10;0;1;0
119350;"cable desde hdmi macho a hdmi macho version 2.0 alta velocidad con ethernet longitud 1.8 metros soporta resoluciones de video hasta 4k conectores chapados en oro para una alta calidad de seal";2.23;equip;cable;5;0;1;0
119351;"cable desde hdmi macho a hdmi macho version 2.0 alta velocidad con ethernet longitud 3 metros soporta resoluciones de video hasta 4k conectores chapados en oro para una alta calidad de seal";2.67;equip;cable;9;0;1;0
119352;"cable desde hdmi macho a hdmi macho longitud 1.8 metros high speed 3d eco";2.18;equip;cable;20;0;1;0
119353;"cable desde hdmi macho a hdmi macho longitud 3 metros high speed 3d eco";2.62;equip;cable;10;0;1;0
119355;"cable desde hdmi macho a hdmi macho longitud  5 metros 1.4 high speed con ethernet eco";3.71;equip;cable;11;0;1;0
119357;"cable desde hdmi macho a hdmi macho longitud 10 metros 1.4 high speed con ethernet";9.89;equip;cable;14;0;1;0
119358;"cable desde hdmi macho a hdmi macho longitud 15 metros 1.4 high speed con ethernet eco";18.12;equip;cable;4;0;1;0
119359;"cable desde hdmi macho a hdmi macho longitud 20 metros 1.4 high speed con ethernet eco";27.35;equip;cable;7;0;1;0
119361;"cable desde hdmi macho a hdmi macho longitud 1 metro  1.4 high speed con ethernet y conector pivotante 180";5.11;equip;cable;2;0;1;0
119390;"cable desde displayport macho a hdmi macho longitud 2 metros";8.84;equip;cable;26;0;1;0
1200-02;"rotulador de punta fina rojo";0.51;edding;papeleria;99;0;1;0
1200-03;"rotulador de punta fina azul";0.45;edding;papeleria;6;0;1;0
1200-04;"rotulador de punta fina verde";0.53;edding;papeleria;9;0;1;0
1200g-2usb-1;"lector codigos de barras ms-1200un voyager laser omnidireccional lectura con pulsador con soporte 1d usb negro";50.54;honeywell;scanner cb;8;0;1;0
1202g-2usb-5;"lector codigos de barras ms-1202g voyager laser omnidireccional lectura con pulsador con soporte 1d bluetooth memoria bateria 1800mah usb negro";104.91;honeywell;scanner cb;4;0;1;0
121140;"conector rj45 macho de categoria 5e pack de 100 unidades";14.53;equip;conector;6;0;1;0
121143;"conector rj45 macho de categoria 6e pack de 100 unidades";10.84;equip;conector;3;0;1;0
121165;"conector rj45 de categoria 6 toolfree no necesita crimpadora pack 2 unidades";4.62;equip;conector;8;0;1;0
121169;"adaptador desde rj45 hembra a rj45 hembra categoria 6 e apantallado";3.3;equip;adaptador;3;0;1;0
127603;"adaptador desde rj45 macho a rj45 hembra categoria 5 e  dos conectores";4.29;equip;adaptador;7;0;1;0
128292;"cable desde usb-a macho a usb-b macho 3.0 longitud 1.8 metros para impresora";3.52;equip;cable;13;0;1;0
128293;"cable desde usb-a macho a usb-b macho 3.0 longitud 3 metros para impresora";3.76;equip;cable;12;0;1;0
12834107;"cable desde usb-c macho a usb-a macho 3.1  longitud 1 metro (para carga de 3a o datos 5gb/s)";3.64;equip;cable;13;0;1;0
128344;"cable desde usb-c macho a usb-a macho 3.2  longitud 2 metros (para carga de 3a o datos 5gb/s con doble blindaje)";4.48;equip;cable;8;0;1;0
128347;"cable desde usb-c macho a usb-c macho longitud 2 metros velocidad de transferencia de datos de hasta 5gbps doble blindaje para una transferencia de datos sin errores corriente de salida de hasta 3a, 20v/3 a  (max. 60w)";4.18;equip;cable;7;0;1;0
128397;"cable desde usb-a macho a micro usb-b macho 3.0 longitud 2 metros";2.91;equip;cable;8;0;1;0
128398;"cable desde usb-a macho 3.0 a usb hembra 3.0 longitud 2 metros";3.34;equip;cable;16;0;1;0
128399;"cable desde usb-a macho 3.0 a usb hembra 3.0 longitud 3 metros";4.04;equip;cable;11;0;1;0
128521;"cable desde usb-a macho a mini usb 5 pines macho longitud 1.8 metros";1.43;equip;cable;5;0;1;0
128523;"cable desde usb-a macho a micro usb macho longitud 1.8 metros";1.29;equip;cable;11;0;1;0
128551;"cable desde usb-a macho a micro usb-b macho 2.0 longitud 1.8 metros con ferrita";1.39;equip;cable;6;0;1;0
128594;"cable desde usb-a macho a micro usb macho longitud 1 metro";1.01;equip;cable;12;0;1;0
128596;"cable desde usb-a macho a micro usb-b macho 2.0 longitud 1 metro con ferrita";1.14;equip;cable;23;0;1;0
128850;"cable desde usb-a macho 2.0 a usb hembra 2.0 longitud 1.8 metros";1.17;equip;cable;6;0;1;0
128851;"cable desde usb-a macho 2.0 a usb hembra 2.0 longitud 3 metros";1.55;equip;cable;14;0;1;0
128852;"cable desde usb-a macho 2.0 a usb hembra 2.0 longitud 5 metros";2.08;equip;cable;12;0;1;0
128860;"cable desde usb-a macho a usb-b macho 2.0 longitud 1.8 metros para impresora";1.22;equip;cable;31;0;1;0
128861;"cable desde usb-a macho a usb-b macho 2.0 longitud 3 metros para impresora";1.46;equip;cable;13;0;1;0
128862;"cable desde usb-a macho a usb-b macho 2.0 longitud 5 metros para impresora";1.91;equip;cable;0;0;1;0
128863;"cable desde usb-a macho a usb-b macho 2.0 longitud 1 metro para impresora";0.9;equip;cable;15;0;1;0
128870;"cable desde usb-a macho a usb-a macho 2.0 longitud 1.8 metros";1.16;equip;cable;21;0;1;0
128871;"cable desde usb-a macho a usb-a macho 2.0 longitud 3 metros";1.28;equip;cable;7;0;1;0
12888307;"cable desde usb-c macho a usb-c macho longitud 1 metro velocidad de transferencia de datos de hasta 480mbps doble blindaje para una transferencia de datos sin errores corriente de salida de hasta 3a.";2.41;equip;cable;0;0;1;0
128887;"cable desde usb-c macho a usb-c macho longitud 2 metros velocidad de transferencia de datos de hasta 480mbps doble blindaje para una transferencia de datos sin errores corriente de salida de hasta 3a.";3.09;equip;cable;13;0;1;0
128888;"cable desde usb-c macho a usb-c macho longitud 3 metros velocidad de transferencia de datos de hasta 480mbps doble blindaje para una transferencia de datos sin errores corriente de salida de hasta 3a.";3.63;equip;cable;2;0;1;0
129503;"juego de herramientas para redes";20.44;equip;accesorio;0;0;1;0
129506;"juego de herramientas para redes";18.33;equip;accesorio;1;0;1;0
12a1980;"tinta n 80 tricolor";25.96;lexmark;tinta;29;0;1;0
12a1985e;"tinta n 85 tricolor";26.37;lexmark;tinta;20;0;1;0
12a5840;"toner lexmark optra t 61x";133.41;lexmark;toner;3;0;1;0
12a7344;"toner lexmark t520/t522 alta capacidad";243.74;lexmark;toner;4;0;1;0
12a7405;"toner lexmark e321/e323 (6000p)";109.13;lexmark;toner;3;0;1;0
12a7410;"toner lexmark t420";71.77;lexmark;toner;1;0;1;0
12a7415;"toner lexmark t420 alto rendimiento";124.53;lexmark;toner;1;0;50;0
12a7460;"toner lexmark t630/t632";97.38;lexmark;toner;3;0;1;0
12a8244;"toner lexmark t630/632/634/x630/632 alto rendimiento";274.25;lexmark;toner;1;0;1;0
12ax970e;"tinta n 70 negro nuevo p/n";32.23;lexmark;tinta;2;0;1;0
12ax975e;"tinta n 75 negro";22.03;lexmark;tinta;8;0;1;0
133310;"cable desde usb-a macho 2.0 a usb hembra 2.0 longitud 10 metros intercambiable en caliente plug-and-play con alimentacion de bus usb";12.52;equip;cable;8;0;1;0
133311;"cable desde usb-a macho 2.0 a usb hembra 2.0 longitud 15 metros intercambiable en caliente plug-and-play con alimentacion de bus usb";19.89;equip;cable;3;0;1;0
133336;"cable desde usb-a macho 2.0 a usb hembra 2.0 longitud 5 metros intercambiable en caliente plug-and-play con alimentacion de bus usb";10.26;equip;cable;10;0;1;0
133384;"adaptador desde usb 3.0 macho a vga hembra 1920x1080 60hz";16.55;equip;adaptador;10;0;1;0
133385;"adaptador desde usb 3.0 macho a hdmi hembra 1920x1080 60hz";23.87;equip;adaptador;4;0;1;0
133392;"cable desde usb-c macho a serie rs232 compatible con windows 7/8/10/11 linuxy mac os longitud 1.5 metros";9.73;equip;cable;6;0;1;0
133411;"cable desde usb-c macho a hdmi macho longitud 1 metro compatible con thunderbolt 3 soporta resoluciones de vdeo de hasta 4k/30hz instalacin plug-and-play se necesita un puerto usb-c con modo alternativo displayport";10.38;equip;cable;5;0;1;0
133412;"cable desde usb-c macho a hdmi macho longitud 2 metros compatible con thunderbolt 3 soporta resoluciones de vdeo de hasta 4k/30hz instalacin plug-and-play se necesita un puerto usb-c con modo alternativo displayport";10.36;equip;cable;2;0;1;0
133413;"cable desde usb-c macho a hdmi macho longitud 3 metros compatible con thunderbolt 3 soporta resoluciones de vdeo de hasta 4k/30hz instalacin plug-and-play se necesita un puerto usb-c con modo alternativo displayport";12.1;equip;cable;11;0;1;0
133416;"cable desde usb-c macho a hdmi macho longitud 2 metros compatible con thunderbolt 3 soporta resoluciones de video de hasta 4k/60hz instalacin plug-and-play se necesita un puerto usb-c con modo alternativo displayport";14.56;equip;cable;11;0;1;0
133417;"cable desde usb-c macho a hdmi macho longitud 3 metros compatible con thunderbolt 3 soporta resoluciones de video de hasta 4k/60hz instalacin plug-and-play se necesita un puerto usb-c con modo alternativo displayport";15.68;equip;cable;6;0;1;0
133422;"cable desde usb-c macho a displayport macho longitud 2 metros compatible con thunderbolt 3 soporta resoluciones de video de hasta 8k/60hz instalacin plug-and-play se necesita un puerto usb-c con modo alternativo displayport";15.94;equip;cable;2;0;1;0
133431;"adaptador desde displayport macho a dvi-i hembra dual link";6.09;equip;adaptador;9;0;1;0
133432;"adaptador desde mini displayport macho a vga hembra";6.45;equip;adaptador;7;0;1;0
133433;"adaptador desde mini displayport macho a dvi-d hembra dual link";5.91;equip;adaptador;2;0;1;0
133434;"adaptador desde mini displayport macho a hdmi hembra";5.54;equip;adaptador;6;0;1;0
133435;"adaptador desde displayport macho a vga hembra";6.31;equip;adaptador;21;0;1;0
133438;"adaptador desde displayport macho a hdmi hembra";5.87;equip;adaptador;27;0;1;0
133451;"adaptador desde usb-c macho a vga hembra";8.73;equip;adaptador;10;0;1;0
133452;"adaptador desde usb-c macho a hdmi hembra";9.63;equip;adaptador;6;0;1;0
133453;"adaptador desde usb-c macho a dvi-i hembra dual link";15.63;equip;adaptador;7;0;1;0
133454;"adaptador desde usb-c macho a ethernet hembra 10/100/1000mbps";13.07;equip;adaptador;6;0;1;0
133455;"adaptador desde usb-c macho a usb-a hembra";2.91;equip;adaptador;7;0;1;0
133458;"adaptador desde usb-c macho a displayport hembra";10.41;equip;adaptador;10;0;1;0
133466;"cable desde usb-c macho a hdmi macho longitud 1.8 metros";15.07;equip;cable;2;0;1;0
133469;"adaptador desde usb-c macho a mini jack hembra 3.5mm x2 para auriculares";8.23;equip;adaptador;2;0;1;0
133471;"adaptador desde usb 3.0 macho a sata 2.5' macho longitud 0.50 metros hasta 2tb compatible con usb 3.0 2.0 y 1.1";11.33;equip;adaptador;13;0;1;0
133484;"adaptador desde usb-c macho a hdmi hembra doble 4k hub usb-c de carga  y usb 3.0";28.78;equip;adaptador;10;0;1;0
133493;"adaptador desde usb-c macho a displayport hembra  1.4  8k  30hz";13.44;equip;adaptador;9;0;1;0
135425;"patch panel 24 puertos categoria 6 19' 1u negro";30.89;equip;accesorio;6;0;1;0
13619hc;"tinta tricolor";24.51;lexmark;tinta;9;0;50;0
1380520;"toner lexmark 4028/4019";221.74;lexmark;toner;1;0;1;0
1382050;"tinta negro";34.37;lexmark;tinta;5;0;1;0
1382060;"tinta tricolor";38.18;lexmark;tinta;15;0;1;0
1400gsr-1usb-1e;"lector codigos de barras ms-1400xp laser omnidireccional lectura con pulsador con soporte 2d usb blanco";78.1;honeywell;scanner cb;2;0;1;0
1400gsr-2usb-1e;"lector codigos de barras ms-1400xp laser omnidireccional lectura con pulsador con soporte 2d usb negro";78.1;honeywell;scanner cb;5;0;1;0
14708107101;"cable desde mini jack macho a mini jack macho longitud 2.5 metros";0.91;equip;cable;6;0;1;0
1472g2d-2usb-5-;"lector codigos de barras ms-1472g xp voyager extreme laser omnidireccional lectura con pulsador 2d bluetooth base de carga bateria 2400mah usb negro";128.68;honeywell;scanner cb;7;0;1;0
1509b001;"tinta pgi-35bk negro 191 paginas segun iso/iec 24711";8.22;canon;tinta;1;0;1;0
154807;"marcador textliner 48 fluorescente amarillo";0.5;faber castell;papeleria;9;0;1;0
154815;"marcador textliner 48 fluorescente naranja";0.85;faber castell;papeleria;9;0;1;0
154828;"marcador textliner 48 fluorescente rosa";0.5;faber castell;papeleria;9;0;1;0
154851;"marcador textliner 48 fluorescente azul";0.85;faber castell;papeleria;8;0;1;0
154863;"marcador textliner 48 fluorescente verde";0.5;faber castell;papeleria;6;0;1;0
1557a003;"toner fx3 negro 2.700 paginas al 5% cobertura";57.04;canon;toner;1;0;5;0
1584625;"pegamento en barra de 22gramos";1.46;printt;papeleria;9;0;1;0
15m0125e;"tinta n 25 tricolor";29.12;lexmark;tinta;15;0;1;0
15mx120br;"tinta n 20 tricolor  nuevo p/n";35.2;lexmark;tinta;3;0;1;0
15mx971e;"tinta n 71 negro";13;lexmark;tinta;5;0;1;0
16697;"altavoces 2.0 mila 10w  autoalimentado por usb conexion frontal de auriculares negro";13.2;trust;altavoces;7;0;1;0
16977;"alfombrilla con base antideslizante de microfibra con reposamueca de gel negro";7.37;trust;alfombrill;12;0;1;0
17595;"altavoces 2.0 remo mini jack 3.5mm 16w negro";16.99;trust;altavoz;10;0;1;0
1760049;"aceite lubricante/limpiador para destructoras rexel";23.72;rexel;componente;3;0;1;0
17g0060;"tinta n 60 tricolor";32.55;lexmark;tinta;2;0;1;0
181014;"cargador usb 2.4a por dos ht-1014 para coche";2.73;here!;cargador;1;0;1;0
18l0000e;"tinta n 88 tricolor";25.31;lexmark;tinta;9;0;1;0
18l0032;"tinta n 82 negro";27.94;lexmark;tinta;1;0;1;0
18y0141e;"tinta n 41 tricolor";26.89;lexmark;tinta;1;0;1;0
19.06.2085r;"juego de herramientas electronic 28 en 1 para portatil";18.46;indefinida;accesorio;1;0;1;0
19.1753;"camara videovigilancia exterior tubular fija ah124fhd de 2 mpx 2.8-12mm 42 leds de iluminacion ir carcasa antivandalico color blanco conexion rca + fuente de alimentacion";47.39;camtronics;camara vid;4;0;1;0
1a1-s00394100g;"tarjeta grafica intel arc a380 elf 6gb gddr6 resolucion 7680x4320 hdmi 3xdisplayport single fan doble ranura.";121.24;sparkle;vga;4;0;1;0
1a1-s00401900g;"tarjeta grafica intel arc a310 eco 4gb gddr6 resolucion 7680x4320 hdmi 2xminidisplayport single fan ";86.9;sparkle;vga;3;0;1;0
